,low_comment_True
667,잘들어 덴마는 덴요일에나온다
668,bl 비슷한 장면 나왔다고 점수오르는거보소ㅋㅋ
669,주사의의 점갯수=1721개
670,"여러분 롯에 대해서는 걱정 안하셔도 됩니다. 무한경호대의 디자인을 보세요. 복면쓰고 피부에 색깔놀이만 해놓은 것이 ""나는 전투가 벌어지면 3컷 안에 목이 잘릴 엑스트라다."" 라고 홍보하는 것이나 마찬가집니다."
671,‘노블레스’했다
672,고드도 책을 남기고.. 공자도 남기고 싶어하고...어쩌면 양형도 지금 덴마가 본인의 인생작 이라고 생각하는거 아닐까.
673,"덴마 최강 퀑 계보

1대 3대 광견 발락
2대 최초 하이퍼 하데스
3대 하데스 잡은 아비가일
4대 백경대 평균 혼마
5대 300명 까지 롯
6대 롯 잡는 다니엘
7대 가야 최강설
8대 사스가 헤글러
9대 명불허전 공자
10대 공자 라이벌 가우스
11대 증폭 3인방 가우스 공자 롯
12대 8우주 최고 지로
13대 설마 다이크가 이걸?"
674,"와우 엄청난 만화가 탄생했네요..
소재 그림체 스토리.. 굿"
675,강해효 진짜... 인간적으로 가족을 건드냐
676,별점이 너무 낮아서 10점 드렸는데 더 낮아졌당..
677,"설마 또 편의점가서 뚱형석한테 상담받는식으로 하소연하고 
형석인 속으로 '지호...그런일이 있었구나'이렇게 불쌍하게 생각하고있던 찰나 형석친구 누군가가 들어서 도움받고 해결하는 전개는 아니겠죠?"
678,rN2 님 저번화에보시면 12시 전까지올리면 생삭기 짜른다고하셨는대  약속지키죠 모두가 볼수있게 좋아요
679,2퍼센트 확률이니 충분히 이길만하네
680,용서는 했지만 잊지는 않겠다
681,오늘자에서 지은이 따라다니던 BJ귀신은 아마 귀신이 아니라 지은이 속에서 내재된 갈등? 같은거라고 생각합니다. 초반에도 동태랑 파티를 맺냐마냐 할때도 튀어나와서 이간질을 했죠.
682,와... 근데 이번화 전율 진짜다...
683,혹시 날 부르냐
684,별 10점 줬는데 0.03 점 오름
685,내이버가 양형 감금하고 완결까지 매일 연재하게 했음 좋겠다
686,오늘건 별점 10점 줄만한데? 분량은 솔직히 자포자기 했고 내용이 최고잖어~~~~
687,십선비ㅋㅋㅋㅋㅋㅋㅋㅋ
688,고양이 낭낙이라 하시는분들 많은데.. 낭낙이는 개입니다... 고양이는 순대에요!! 순대 오랜만에 보네요! 잘크고있나봐요♥
689,이런 배뎃유형은 난생처음보네ㅋㅋㅋㅋㅋㅋ
690,쿠키 한동안 안굽다가 홍오수가 또 무슨 헛소리하고 빡치게할지 궁금해서 질렀습니다 지훈이랑 보배랑 잘된다해도 그렇게되면 민호가 너무 불쌍해지고 노아가 보배한테 자꾸 눈치주고 꼽주는거 내가 다 상처를 받고 총체적 난국에 보배가 쟤네랑 의절하고 자기 행복 찾았으면 좋겠고 그리고 그냥 희지가 너무 보고싶다 
691,저 아저씨는 자꾸 남 밥먹는데 솔잎을 욱여넣고 있어
692,근데 저하데스는 자기가 태궁에서 무사히 빠져나갓는줄아는 거겟지만 실제로는 분화
693,데바림이 존재감 유지하는 법: 가끔 자다 깨서 눈 한번 부릅뜬다
694,왕위를 계승중입니다 어머님!
695,직접 죽이러 오다니ㅋㅋㅋㅋ 아그네스 진짜 소름ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
696,솔직하게 기명이 이제 보내주자. 그동안 고생 많이했어.. 이제 보내주고 환생왕 찍자
697,"명대사 또 하나 탄생하는 순간...

엘 : 허를 찌르는 접근이긴 하지만 분명히 너무 무모해.
하즈 : 무모하긴 하지만 확실하게 허를 찌르는 방법이죠.

각자의 문장 속에 두 사람의 가치관과 성격이 집약적으로 나타나 있다..."
698,작가님 너무 잘 보고 있습니다♡♡ 항상 작가님 응원하겠습니당. 악플은 무시하시고 맘고생 하지마세요ㅜㅜ♡♡
699,근데 미리보기인데 전혀 미리본거같지가 않아;;;
700,ㄹㅇ 이쯤되니 미래의 약쟁이 고산이 어떻게든 약에서 벗어나 엘새끼 면상좀 밟아줬으면 좋겠네
701,두유노 코리안 가방셔틀 칠드런's 파워!
702,작가님 처음엔 시문씨 비주얼에 반하고 재미있기까지해서 특영반 초기부터 챙겨봤어요!! 요즘 지나친 악플이 많은데 너무 마음고생하지 마시고 날씨도 더운데 건강 조심하세요! 항상 응원하는 독자들도 많답니다 꿋꿋이 연재해주시길 바라요 응원합니다♥
703,역시 총판했던놈은 다르네 역베에 걸줄알아
704,"잘 생각하셧습니다.

이제 스토리 끌고 분량 이런 분량 다시 안봤으면 좋겠네요."
705,"2013.11.03일 첫 출연
2019.11.08일 마지막 출연

동원 배우님 그동안 수고 많으셨습니다. 다음 좋은 작품에서 만나요!!"
706,"무봉이 죽이러 갈사람 모집해요
저 담주 화요일 입대합니다 가기전에 죽입시다
(1/100000000)"
707,고산가가 흥할거라는 떡밥 오늘 나왔군요 저새리가 이끌면 ㅋㅋ
708,몰라서 묻나
709,커피는 니가 타먹어 이스끼야
710,바스코 지갑 보고 표정이 너무 웃김
711,담주엔 6시에 올려주세여.... 2시간씩 줄여보자구여...^.^..
712,초반에 주먹에 정빵으로 얼굴 맞고 '이제 곧 죽습니다' 이거보고 순간 한대 맞고 죽었나 했네ㅋㅋㅋㅋㅋㅋㅋ
713,"오전 킬더킹이라니!
10점 드립니다"
714,근데 우기명이 대리 엄마아빠한테 왜 맞은거냐?
715,머리로는 은주가 맞다고 생각하지만 가슴으로는 지은이를 응원하게되네요. 사람도 돈도 다 잃고 외로운 단캉방에서 나가지도 못한채 빚독촉 문자를 받는 기분은 대체 어떨까요
716,"아니 그래도 또 큰 틀 나오기전 한타임 쉬어가는

느낌아니냐? 호흡 한번 씨게 쉬고 개빡세게 싸울거

같은데? 나름 만족 스러웠음. 갓오하 특성상 늘

큰 틀 가기전에 이런식으로 호흡 길게 한번 꼭

갔었음. 그니까 아마 조만간부터 라그나로크및

패부나 오래국급 전투씬 나올거 같다."
717,"예전에 케이가 실수로 불태운게 아니라 다른 사람이 그 능력을 쓴거고 케이가 그때 그 능력을 인식해서 쓸수 있게 된거같아요.
능력창이 6개인거 보면 몇가지 능력을 더 사용할수 있들듯해요
"
718,속긴 했지만 주희린 날아간거 봤으니 됐습니다.
719,"사물퀑은 전사체와 결합하면 행성을 날릴정ㄷ느의 폭발력이라고했으니까, 그건가보다"
720,"진짜 작가님 오래된 팬으로써 한마디만 할게요..팬으로써 한마디 정도는 괜찮잖아요??
외모지상주의라는 타이틀과 몸이 2개로 나뉘어 진다는 색다른 소재로 매료됬었는데 요새는 솔직히 외모지상주의라는 단어와 적합한 스토리인지...의문이 갑니다..이쯤되면 솔직히 각 케릭터들 힘자랑하는데..파워지상주의가 아닐까요..??앞으로 나아갈 길을 확실하게 잡고 달려주시면 감사하겠습니다!!"
721,분량 고수의 10분의1쯤되는듯
722,제가 아직도 별점2.22로 맞추자는 말을 이해 못하신분들을 위해서 다시한번 설명해드리겠습니다.작가님이 홍진호 프로게이머를 좋아하시는데 이번에 홍진호 프로게이머가 새로운 프로그램을 시작하기도 했고(홍진호 프로게이머는 숫자2랑 굉장히 많은 괸련이 있는 선수임)이번화 내용도 숫자2랑 관련이 있기도 하고 해서 작가님이 2.22로 맞추자고 한겁니다.이제 아셨으면 딴분들도 보게 베댓좀 올려주세요.
723,"이건 드디어 작가님이 반장을 떼어낼거같은 느낌이 드네요
떡밥으로 일단 대미궁에 들어왔던사람들이 능력을 쓸수있게된건데 그 대미궁을 만든애가 신으로 변한거죠 그러고 지한이는 반장과 새로 나온 신의 관계를 끊어버리고 싶다고 얘기했습니다. 환성곤은 그 방법이  신을 부정하면 된다는 아주 간단한 방법으로 제안을하였습니다 즉 반장이 신을 부정하게 되면 반장은 곧 능력을 잃어버린다는 소리죠 ㅎㅎ 곧 반장이 사라질날이 머지않았네요

네 사실 많은분들 보시라고 베뎃좀가고싶습니다..."
724,"옆 동네는 갈비찜이였으니까.. 여기는 매운돼지갈비찜 가자.
재료:파 양파 마늘 고춧가루 돼지 갈비 감자

1. 돼지갈비를 물에 담가 핏물을 뺀다
2. 핏물 뺀 돼지갈비는 끓는 물어 살짝 데친 후 씻어준다.
3. 후라이팬에 기름을 살짝 두르고 양파를 카라멜화 되도록 볶다 파또한 같이 볶아준다.
4. 볶은 양파에 데친 갈비를 넣고 한 두번 저어준 뒤, 설탕을 넣고 다시 볶아준다
5. 설탕이 늘어 붙어 카라멜화 되면 고기가 잠길때까지 물을 넣고 끓여준다. 이 때 감자와 당근을 넣고 같이 끓인다.
6. 감자와 고기 당근이 익어가면 마늘과 간장으로 간을 맞추고, 굵은 고춧가루와 고운 고춧가루를 사용하여 빨간 빛을 내주고 농도를 잡아준다.
7. 기호에 따라 청양고추를 넣어주고 맛있게 먹는다!"
725,"기안님 첫작품부터 봐왔던 팬 입니다, 마지막 산으로가던 패션왕이 떠오르네요..계속그려야한단 부담갖지마시고 이야기가안풀리면 잠시 쉬는것도 좋을것같습니다. 이번에 일부러 결제해서 끝까지봤는데..전개, 개연성, 이야기, 재미, 교훈, 감동, 감성, 사랑..아무것도없는것들이 뿌려지는 이 상태가 팬으로써 마음이아픕니다. 마지막 이야기를위한 큰 그림이라믿고싶지만 그러기엔 너무 멀리온듯합니다. 창작의고통을 모르는건아니나 스스로가 만족할수있는, 아니 최소한 부끄럽지않은 작품이 이어지길바랍니다."
726,누가 10대에 임신했는데 자취한다고 집을 나가; 충동적으로 나가도 보통은 그게 관한 시설을 일아보겠지
727,"익숙한 썸네일 보고 들어왔는데 너무 자연스럽게 연재하니까 당황스럽네

7월만 보면 성실연재인데 연도가 다르네?"
728,딴건 몰라도 지은이 흑화연출은 역대급이네 ㄷㄷㄷㄷ 찌질거리던 주인공이라는놈이랑 격이다르누 ㅋㅋㅋㅋㅋ 흑화장면 표지로좀 쓰지
729,시즌4의 44화에서 미오의 4망이라.. 설마 44 맞추려고 이렇게 끌어온것은 아니겠지요? 재밌는 건 별점도 4.44를 향해가고 있네요
730,"이 작가의 만화에서 잘생기고 예쁜애들은 너무나도 자연스럽게 멋진 지위와 삶이 주어지고 또한 멋지게 삶을 헤쳐나간다. 이들은 또한 모든게 당연하게 잘풀려서 여유롭다. 못생기고 뚱뚱한 애들은 그게 당연한것처럼 밑바닥 생활이 주어지고 또한 벌레처럼 바닥을 기며 생활을 이어나간다. 이들 작뚱못(작고 뚱뚱하고 못생긴)들의 노력하는 모습은 애처롭거나 비웃음의 대상이 되거나 악바리로 나타난다. 

외모가 훌륭하지 못한 친구들을 봐왔다. 사실 그게 다수다. 훌륭한 외모가 없어도 자신의 노력을 하는 모습만으로 멋지고 여유로웠으며 빛나는 사람들이 있었다. 그런데 이 작가의 시선에서는 그런 이들을 발견할 수 없다. 작가는 외모지상주의라는 사회문제를 드러내고 싶은 것인지, 자신의 외모지상주의적 관점을 고백하고 반성하고 싶는 것인지 모르겠다."
731,"근데 이태양 개상처받았을듯ㅋㅋㅋ 싸질러놓은게많아서
지금 친구가아니지만 전에는 존나좋은친구라고 생각했을거야"
732,민호 원래 이런애였나 ㅋㅋㅋㅋㅋㅋㅋ
733,사이다인줄 알았는데 고구마수액이였네 ㅋㅋㅋㅋㅋㅋ
734,"와 동태 많이 나오니까 급노잼노선 타는구만 ㅋㅋㅋㅋㅋ 지난주엔 그래도 요환,은주,지은 애들이랑 간만에 무영 등장해서 분량 짧아도 재미는 있었는데 동태 혹은 미오가 많이 나오면 진짜 너무 재미없어"
735,그래 미연시나 합시다
736,"난 요즘 요한이가 디게 호감이네요.
제법 나름의 소신도있고
긴박한 순간에도 맞서려는 저력도있음
무엇보다 동태구이보다 본인이 가진 능력을 잘 활용함
주구장창 칼만 휘두르는 동태보다 훨씬멋있음

킹요한 퀸은주 퀸지은 도원결의 ㄱㄱ"
737,"오늘은 약하나

내일은 용왕 방문 입구 등장 끗

내일 모레는 용왕 얼굴 나오면서 끗

내일 모레 글피는  용왕이 ""어서오너라"" 하면서 끗

하.

초기랑 왜케 다르냐

도전만화때부터 재밌다 하면서 봤는데

진저리난다 이제"
738,"오늘 저녁 뭘 해먹지? 고민이신 분들을 위해 쿠켄에서 제안하는 식탁요리, 꽁치 김치찌개입니다.

1.요리법

1) 요리재료

· 주재료 : 꽁치통조림 1/2캔, 김치 300g, 두부 1/2모, 대파 1/2대, 풋고추 1/2개, 붉은 고추 1/2개, 고춧가루 1큰술, 다진 마늘 1/2큰술, 소금(약간), 물 4컵

2) 기본정보

· 조리시간 : 30분
· 분량 : 4인분 기준

3) 요리과정

01. 김치는 먹기 좋은 크기로 썰고 꽁치는 통조림에서 국물은 따라 버리고 건진다.
02. 대파, 풋고추, 붉은 고추는 어슷썬다.
03. 냄비에 물과 김치를 넣어 끓이다 김치가 부드러워지면 꽁치를 넣는다.
04. 고춧가루, 다진 마늘, 소금으로 간을 한 후 두부, 대파, 풋고추, 붉은 고추를 넣어 살짝 끓인다."
739,로리스승 입국심사에서 재입국이라고 했던 것 같은데
740,"지스타 강연 내용

덴마는 12월초 완결에
스토리는 중간에 계속 설정 바꿨다.
그래놓고 강연 주제가 스토리텔링ㅋㅋㅋ"
741,예전에는 능력올릴려고 브로커한테 고액의 수수료 때여가면서 훈련하거나 심지어 수술까지 받았는데 이제는 마약도 부족했는지 '요즘 얘들은 좀 쌔'로 퉁치네ㅋㅋㅋㅋㅋㅋㅋㅋ
742,저는 바닥까지 친 웹툰이 반등하면 지금까지 동고동락한 보람이 느껴질것같아 아직 붙어있습니다(그게 언제가 될진 모르겠지만요^^;) 물론 그렇다 할지라도 작금의 상황에 대해 무리하게 작가님을 옹호할 생각은 추호도 없습니다. 작가님만 만화에 관계된 것이 아니라 독자들도 독자 나름의 감상을 할 권리가 있는 텍스트의 주체니까요.
743,"용재형 잘 압니다. 알죠 저희도...
본인이 짜놓은 스토리가 있는데
독자들은 이거 아니라고만 하고 있고
뭔가를 표현하고 싶기에 스토리 늘어질수도 있죠.
이해 합니다.
하지만 때와 상황이라는게 있어요.
x세대 강한거 알겠습니다.
하지만 김두식을 뛰어넘는다?
그렇게 되면 라그나로크 전쟁 때의 신들 
전부 한순간에 쩌리되요.
특히 싸움은 절대 김두식의 죽음으로 이어져선 안되죠.
갓오하 초기엔 무작정적인 강함보다 
노력, 경험에 의한 강함을 강조했었는데
지금은 핏줄좋음 장땡이잖아요.
볼맛이 안난다라는 겁니다.
심지어 3편의 미리보기가 갑자기 풀렸는데
혹시나가 역시나 되버리더군요.

모바일게임 때문에 캐릭은 찍어내야겠고
돈 되려면 어느정도 강해야하는 캐릭이니 
과거 강캐릭 하나 잡아서 강함인증은 해야겠고...
요즘 판타지들은 파워인플레가 유행이죠.
모든 독자가 다 알아요.
하지만 잊지마세요.
갓오하의 묘미는 원펀맨급은 아니지만,
그래도 아군의 약간의 핀치, 이후 압도적인 강함에 있습니다."
